#STAMP {"kind":"bench-stamp/v1","date":"2026-07-17T01:17:48.978Z","protocol":"isolated-per-row","reps":3,"node":"v26.3.1","arch":"arm64","platform":"darwin","cpu":"Apple M4 Pro","gcExposed":true,"enginePath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.5.0-beta/Signal.js","engineSha256":"1b7f332d6e55edcce9cfe3afa525e14db95521bc69ead0cf748d6d505f7e6d7f","harnessPath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.5.0-beta/bench/mirror.mjs","harnessSha256":"b7adc35f38454cdcb612557414a92ead3780d32f6e0ef9b935c8f052c29dcbbc","config":{"maxNodes":131072,"maxLinks":1048576,"prealloc":"lazy","onCapacityExceeded":"grow"},"extra":{"ceiling_ms":1500,"quick":false,"adapter":"andrii-canonical","scenario":"layered full-drain warm"}}
framework , test , time , metrics
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 (layered full-drain warm) , 45.97    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952 flushPasses=undefined poolGrowths=0
lite-signal            , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - warm 256 - per-batch (layered burst flush warm) , 588.27   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664 flushPasses=undefined poolGrowths=0
lite-signal            , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256 (stable diamond mesh warm) , 4.51     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664 flushPasses=undefined poolGrowths=0
lite-signal            , 32x8 - 4 sources - pull (pure pull)                          , 0.83     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32 flushPasses=undefined poolGrowths=0
lite-signal            , 8x64 - 1 sources - pull (linear chain - 1 source - pull (linear pull)) , 1.03     , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8 flushPasses=undefined poolGrowths=0
lite-signal            , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branchy pull)) , 0.89     , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64 flushPasses=undefined poolGrowths=0
lite-signal            , 32x8 - 4 sources - push (pure push)                          , 87.15    , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010 flushPasses=undefined poolGrowths=0
lite-signal            , 10x5 - 2 sources - read 20% (simple component)               , 135.54   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002 flushPasses=undefined poolGrowths=0
lite-signal            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 116.77   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002 flushPasses=undefined poolGrowths=0
lite-signal            , 1000x12 - 4 sources - dynamic (large web app)                , 257.41   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000 flushPasses=undefined poolGrowths=0
lite-signal            , 1000x5 - 25 sources (wide dense)                             , 315.25   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000 flushPasses=undefined poolGrowths=0
lite-signal            , 5x500 - 3 sources (deep)                                     , 99.53    , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505 flushPasses=undefined poolGrowths=0
lite-signal            , avoidablePropagation                                         , 94.50    , 
lite-signal            , broadPropagation                                             , 191.04   , 
lite-signal            , deepPropagation                                              , 74.93    , 
lite-signal            , diamond                                                      , 104.46   , 
lite-signal            , mux                                                          , 177.85   , 
lite-signal            , repeatedObservers                                            , 28.50    , 
lite-signal            , triangle                                                     , 43.76    , 
lite-signal            , unstable                                                     , 40.86    , 
lite-signal            , manyEffectsFromOneSource                                     , 122.34   , checksum=180075672000
lite-signal            , manySourcesIntoOneComputedEffectWithDirect                   , 63.83    , checksum=1372929289844
lite-signal            , manySourcesIntoOneComputedEffect                             , 63.72    , checksum=1331323690944
lite-signal            , manySourcesIntoOneDirectEffect                               , 31.87    , checksum=41605598900
lite-signal            , molBench                                                     , 163.41   , 
lite-signal            , createDataSignals                                            , 8.95     , 
